更新时间: 2026-04-20 16:28:57（北京时间）

更新时间,#genre#
2026-04-20 16:28:57,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

贵州卫视,http://183.30.202.85:8000/rtp/239.77.1.221:5146$广东电信
贵州卫视,http://220.192.130.71:8002/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://221.232.40.13:8888/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://58.62.234.243:10000/rtp/239.77.1.221:5146$广东电信
云南卫视,http://183.30.202.85:8000/rtp/239.253.43.100:5146$广东电信
云南卫视,http://58.62.234.243:10000/rtp/239.253.43.100:5146$广东电信
天津卫视,http://183.30.202.85:8000/rtp/239.77.0.131:5146$广东电信
天津卫视,http://220.192.130.71:8002/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://221.232.40.13:8888/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://58.62.234.243:10000/rtp/239.77.0.131:5146$广东电信
安徽卫视,http://183.30.202.85:8000/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://220.192.130.71:8002/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://221.232.40.13:8888/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://58.62.234.243:10000/rtp/239.77.0.183:5146$广东电信
山东卫视,http://183.30.202.85:8000/rtp/239.77.0.94:5146$广东电信
山东卫视,http://183.30.202.85:8000/rtp/239.77.0.61:5146$广东电信
山东卫视,http://220.192.130.71:8002/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://220.192.130.71:8002/rtp/225.0.4.199:7980$重庆市联通
山东卫视,http://221.232.40.13:8888/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.94:5146$广东电信
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.61:5146$广东电信
辽宁卫视,http://183.30.202.85:8000/rtp/239.77.1.103:5146$广东电信
辽宁卫视,http://220.192.130.71:8002/rtp/225.0.4.98:7980$重庆市联通
辽宁卫视,http://221.232.40.13:8888/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://58.62.234.243:10000/rtp/239.77.1.103:5146$广东电信
黑龙江卫视,http://183.30.202.85:8000/rtp/239.77.0.93:5146$广东电信
黑龙江卫视,http://220.192.130.71:8002/rtp/225.0.4.201:7980$重庆市联通
黑龙江卫视,http://221.232.40.13:8888/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://58.62.234.243:10000/rtp/239.77.0.93:5146$广东电信
吉林卫视,http://183.30.202.85:8000/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://221.232.40.13:8888/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://58.62.234.243:10000/rtp/239.77.1.111:5146$广东电信
内蒙古卫视,http://183.30.202.85:8000/rtp/239.77.0.70:5146$广东电信
内蒙古卫视,http://58.62.234.243:10000/rtp/239.77.0.70:5146$广东电信
宁夏卫视,http://183.30.202.85:8000/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://183.30.202.85:8000/rtp/239.77.0.73:5146$广东电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.73:5146$广东电信
山西卫视,http://183.30.202.85:8000/rtp/239.77.0.69:5146$广东电信
山西卫视,http://58.62.234.243:10000/rtp/239.77.0.69:5146$广东电信
陕西卫视,http://183.30.202.85:8000/rtp/239.77.1.54:5146$广东电信
陕西卫视,http://58.62.234.243:10000/rtp/239.77.1.54:5146$广东电信
甘肃卫视,http://183.30.202.85:8000/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://183.30.202.85:8000/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://220.192.130.71:8002/rtp/225.0.4.181:7980$重庆市联通
甘肃卫视,http://58.62.234.243:10000/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://58.62.234.243:10000/rtp/239.77.1.57:5146$广东电信
青海卫视,http://183.30.202.85:8000/rtp/239.253.43.125:5146$广东电信
青海卫视,http://58.62.234.243:10000/rtp/239.253.43.125:5146$广东电信
新疆卫视,http://183.30.202.85:8000/rtp/239.77.0.47:5146$广东电信
新疆卫视,http://220.192.130.71:8002/rtp/225.0.4.60:7980$重庆市联通
新疆卫视,http://58.62.234.243:10000/rtp/239.77.0.47:5146$广东电信
西藏卫视,http://183.30.202.85:8000/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://183.30.202.85:8000/rtp/239.77.0.74:5146$广东电信
西藏卫视,http://220.192.130.71:8002/rtp/225.0.4.67:7980$重庆市联通
西藏卫视,http://58.62.234.243:10000/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://58.62.234.243:10000/rtp/239.77.0.74:5146$广东电信
三沙卫视,http://183.30.202.85:8000/rtp/239.253.43.113:5146$广东电信
三沙卫视,http://58.62.234.243:10000/rtp/239.253.43.113:5146$广东电信
兵团卫视,http://183.30.202.85:8000/rtp/239.77.0.48:5146$广东电信
